server_id,zone,current_load_percent,cpu_temp_celsius,memory_available_gb,network_bandwidth_percent,job_queue_size,status,response_time_ms
S001,Mumbai-DC1,35,42,24,45,8,active,45
S002,Bangalore-ECity,78,68,4,92,156,heavy_load,210
S003,Hyd-HitechCity,52,55,14,67,42,active,95
S004,Pune-Hinjewadi,41,48,18,54,22,active,67
S005,Chennai-SIPCOT,89,75,2,98,234,overloaded,450
S006,Delhi-NCR-Noida,28,38,28,32,5,light,25
S007,Gurgaon-CyberHub,65,61,8,78,89,active,145
S008,Mumbai-DC2,45,50,16,60,35,active,78
S009,Bangalore-Whitefield,92,82,1,99,267,critical,850
S010,Hyd-Gachibowli,33,45,22,48,12,active,52
S011,Pune-Magarpatta,72,65,6,85,124,heavy_load,195
S012,Chennai-OMR,55,58,12,71,51,active,110
S013,Kolkata-SaltLake,48,52,20,58,35,active,82
S014,Trivandrum-Technopark,71,64,5,88,145,heavy_load,178
S015,Mumbai-DC1,12,35,64,10,0,idle,15
S016,Bangalore-ECity,45,52,32,45,12,active,55
S017,Hyd-HitechCity,88,72,4,85,140,heavy_load,210
S018,Pune-Hinjewadi,95,85,1,98,320,critical,950
S019,Chennai-SIPCOT,22,38,58,20,2,active,25
S020,Delhi-NCR-Noida,65,60,16,60,45,active,90
S021,Gurgaon-CyberHub,50,55,24,55,30,active,75
S022,Mumbai-DC2,92,80,2,95,280,critical,800
S023,Bangalore-Whitefield,30,42,48,25,5,idle,35
S024,Hyd-Gachibowli,75,68,6,78,110,heavy_load,180
S025,Pune-Magarpatta,10,30,64,5,0,idle,12
S026,Chennai-OMR,55,58,18,50,35,active,85
S027,Kolkata-SaltLake,98,88,0,99,500,outage_risk,1500
S028,Trivandrum-Technopark,85,74,3,90,180,heavy_load,320
S029,Kochi-Infopark,40,50,30,42,15,active,60
S030,Ahmedabad-GIFT,60,62,12,65,55,active,110
S031,Mumbai-DC1,25,40,50,22,3,idle,40
S032,Bangalore-ECity,70,66,8,75,95,active,160
S033,Hyd-HitechCity,5,28,128,2,0,maintenance,5
S034,Pune-Hinjewadi,91,79,2,92,250,critical,750
S035,Chennai-SIPCOT,48,54,28,48,25,active,68
S036,Delhi-NCR-Noida,35,45,36,35,10,active,52
S037,Gurgaon-CyberHub,82,73,5,84,155,heavy_load,240
S038,Mumbai-DC2,15,36,60,12,1,idle,22
S039,Bangalore-Whitefield,99,90,0,100,600,critical,2000
S040,Hyd-Gachibowli,62,63,14,64,60,active,125
S041,Pune-Magarpatta,20,39,55,18,2,idle,30
S042,Chennai-OMR,58,61,20,60,40,active,100
S043,Kolkata-SaltLake,42,51,26,46,18,active,65
S044,Trivandrum-Technopark,78,70,6,82,130,heavy_load,200
S045,Kochi-Infopark,12,34,64,10,0,idle,18
S046,Ahmedabad-GIFT,89,76,3,91,210,overloaded,550
S047,Mumbai-DC1,94,84,1,97,350,critical,900
S048,Bangalore-ECity,52,58,22,54,32,active,88
S049,Hyd-HitechCity,33,48,40,30,8,active,48
S050,Pune-Hinjewadi,68,65,10,70,85,active,150
S051,Chennai-SIPCOT,96,86,1,99,420,critical,1100
S052,Delhi-NCR-Noida,28,42,52,26,4,idle,38
S053,Gurgaon-CyberHub,46,53,24,50,22,active,72
S054,Mumbai-DC2,74,69,7,80,120,heavy_load,190
S055,Bangalore-Whitefield,8,30,120,5,0,maintenance,10
S056,Hyd-Gachibowli,90,78,2,94,240,critical,680
S057,Pune-Magarpatta,64,64,15,66,58,active,130
S058,Chennai-OMR,38,49,34,40,14,active,62
S059,Kolkata-SaltLake,86,74,4,88,165,heavy_load,280
S060,Trivandrum-Technopark,18,37,60,15,1,idle,25
S061,Kochi-Infopark,97,89,0,100,550,critical,1800
S062,Ahmedabad-GIFT,55,60,19,58,38,active,95
S063,Mumbai-DC1,24,41,50,20,3,idle,36
S064,Bangalore-ECity,72,67,8,76,100,heavy_load,175
S065,Hyd-HitechCity,44,52,26,48,20,active,70
S066,Pune-Hinjewadi,80,72,5,85,145,heavy_load,220
S067,Chennai-SIPCOT,11,33,64,9,0,idle,16
S068,Delhi-NCR-Noida,93,82,1,96,300,critical,850
S069,Gurgaon-CyberHub,50,56,22,52,28,active,80
S070,Mumbai-DC2,36,47,38,38,12,active,58
S071,Bangalore-Whitefield,84,75,4,86,170,heavy_load,300
S072,Hyd-Gachibowli,21,39,56,19,2,idle,32
S073,Pune-Magarpatta,66,65,14,68,62,active,140
S074,Chennai-OMR,95,87,1,98,380,critical,980
S075,Kolkata-SaltLake,45,53,28,45,24,active,68
S076,Trivandrum-Technopark,59,62,18,62,45,active,105
S077,Kochi-Infopark,76,70,6,82,125,heavy_load,195
S078,Ahmedabad-GIFT,14,35,62,11,1,idle,20
S079,Mumbai-DC1,88,78,3,90,200,heavy_load,450
S080,Bangalore-ECity,32,45,42,32,8,active,45
S081,Hyd-HitechCity,60,60,16,65,50,active,100
S082,Pune-Hinjewadi,25,40,54,25,4,idle,35
S083,Chennai-SIPCOT,91,81,2,94,260,critical,720
S084,Delhi-NCR-Noida,54,58,20,55,36,active,90
S085,Gurgaon-CyberHub,79,72,5,84,140,heavy_load,210
S086,Mumbai-DC2,10,32,64,8,0,idle,15
S087,Bangalore-Whitefield,48,55,24,50,28,active,75
S088,Hyd-Gachibowli,83,76,4,88,160,heavy_load,280
S089,Pune-Magarpatta,38,48,36,40,15,active,60
S090,Chennai-OMR,92,85,1,96,310,critical,880
S091,Kolkata-SaltLake,56,60,18,60,40,active,95
S092,Trivandrum-Technopark,22,40,50,22,3,idle,30
S093,Kochi-Infopark,65,64,12,68,60,active,120
S094,Ahmedabad-GIFT,87,77,3,90,190,heavy_load,400
S095,Mumbai-DC1,40,50,30,45,20,active,65
S096,Bangalore-ECity,75,70,7,80,115,heavy_load,185
S097,Hyd-HitechCity,18,37,60,16,2,idle,25
S098,Pune-Hinjewadi,96,88,0,99,500,critical,1500
S099,Chennai-SIPCOT,52,58,22,56,35,active,85
S100,Delhi-NCR-Noida,30,45,45,30,6,idle,42
S101,Gurgaon-CyberHub,68,66,10,72,80,active,150
S102,Mumbai-DC2,85,75,4,88,175,heavy_load,320
S103,Bangalore-Whitefield,44,53,28,48,22,active,70
S104,Hyd-Gachibowli,12,33,64,10,0,idle,18
S105,Pune-Magarpatta,90,82,2,95,290,critical,800
S106,Chennai-OMR,50,56,24,52,30,active,78
S107,Kolkata-SaltLake,35,46,38,36,10,active,55
S108,Trivandrum-Technopark,72,68,8,78,105,heavy_load,170
S109,Kochi-Infopark,25,41,52,25,4,idle,38
S110,Ahmedabad-GIFT,60,62,15,64,55,active,115
S111,Mumbai-DC1,94,86,1,98,380,critical,1050
S112,Bangalore-ECity,46,55,26,50,25,active,72
S113,Hyd-HitechCity,6,28,128,3,0,maintenance,8
S114,Pune-Hinjewadi,78,72,6,84,140,heavy_load,230
S115,Chennai-SIPCOT,36,49,35,40,14,active,60
S116,Delhi-NCR-Noida,82,75,4,87,155,heavy_load,260
S117,Gurgaon-CyberHub,20,38,58,20,2,idle,30
S118,Mumbai-DC2,55,60,18,60,40,active,92
S119,Bangalore-Whitefield,98,90,0,100,600,critical,2200
S120,Hyd-Gachibowli,42,52,30,45,20,active,68
S121,Pune-Magarpatta,64,64,12,68,65,active,135
S122,Chennai-OMR,15,36,62,12,1,idle,22
S123,Kolkata-SaltLake,89,79,3,92,220,overloaded,580
S124,Trivandrum-Technopark,50,55,24,55,30,active,75
S125,Kochi-Infopark,30,44,45,30,8,idle,45
S126,Ahmedabad-GIFT,74,70,7,80,120,heavy_load,190
S127,Mumbai-DC1,93,85,1,97,340,critical,920
S128,Bangalore-ECity,58,60,20,62,45,active,105
S129,Hyd-HitechCity,22,40,55,22,3,idle,32
S130,Pune-Hinjewadi,65,65,10,70,80,active,145
