meeting_id,meeting_name,start_time,end_time,room_required,participants,priority,department,capacity_needed
M001,Q3_Quarterly_Business_Review,09:00,12:00,Boardroom_Alpha,18,3,Executive,20
M002,Daily_Standup_Backend,09:30,09:45,Huddle_Area_1,8,1,Engineering,10
M003,Daily_Standup_Frontend,09:30,09:45,Huddle_Area_2,10,1,Engineering,12
M004,Daily_Standup_DevOps,09:45,10:00,Huddle_Area_3,6,1,DevOps,8
M005,Client_Demo_FinTech_App,10:00,11:00,Conf_Room_Glass,12,3,Sales,15
M006,UX_Design_Critique,10:00,11:30,Design_Studio,8,2,Product_Design,10
M007,Production_Incident_PostMortem,10:00,11:30,War_Room,15,3,Engineering,20
M008,HR_Induction_Batch_24,09:00,13:00,Training_Hall_A,40,2,HR,50
M009,Java_Spring_Boot_Training,14:00,17:00,Training_Hall_B,30,2,L&D,35
M010,AWS_Migration_Strategy,11:00,12:30,Conf_Room_Blue,10,3,Architecture,12
M011,Sales_Pipeline_Review,11:00,12:00,Conf_Room_Green,20,2,Sales,25
M012,Marketing_Campaign_Ideation,11:30,13:00,Creative_Lounge,12,2,Marketing,15
M013,Lunch_and_Learn_AI,12:30,13:30,Cafeteria_Zone_1,50,1,General,60
M014,Sprint_Planning_Team_Alpha,13:30,15:00,Agile_Room_1,12,2,Engineering,15
M015,Sprint_Planning_Team_Beta,13:30,15:00,Agile_Room_2,10,2,Engineering,12
M016,Sprint_Retrospective_Team_Gamma,15:00,16:00,Agile_Room_3,14,2,Engineering,15
M017,Client_Onboarding_Call,15:00,16:00,Zoom_Pod_1,3,2,Customer_Success,4
M018,Vendor_Contract_Negotiation,15:30,16:30,Conf_Room_Small,4,3,Legal,6
M019,Weekly_All_Hands,16:00,17:00,Main_Auditorium,200,3,Executive,250
M020,Deployment_Window_Sync,17:30,18:00,Ops_Centre,8,3,DevOps,10
M021,US_Client_Sync_Call,18:00,19:00,Conf_Room_Glass,5,3,Product,8
M022,Security_Audit_Review,10:30,12:00,Secure_Room_1,6,3,Security,8
M023,CEO_Townhall_Broadcast,10:00,11:00,Studio_Room,5,3,Comms,10
M024,Interview_Senior_Dev_R1,10:00,11:00,Interview_Cabin_1,2,2,HR,3
M025,Interview_QA_Lead_R2,11:00,12:00,Interview_Cabin_2,3,2,HR,4
M026,Interview_Product_Mgr_Final,14:00,15:00,Interview_Cabin_3,3,2,Product,4
M027,Data_Science_Model_Review,14:30,16:00,Data_Lab,8,2,Data_Science,10
M028,Finance_Budget_Approval,15:00,16:00,CFO_Cabin,4,3,Finance,5
M029,GDPR_Compliance_Workshop,10:00,12:00,Conf_Room_Orange,20,3,Legal,25
M030,Mobile_App_Release_GoNoGo,16:30,17:00,War_Room,10,3,Engineering,12
M031,Team_Bonding_Fun_Friday,17:00,18:30,Cafeteria_Zone_2,60,1,HR,70
M032,Board_Meeting_Prep,08:30,09:30,Boardroom_Beta,6,3,Executive,10
M033,Investor_Relations_Call,19:00,20:00,Conf_Room_Executive,5,3,Finance,8
M034,Hackathon_Organizing_Comm,11:00,12:00,Huddle_Area_4,8,1,Engineering,10
M035,API_Gateway_Arch_Review,14:00,15:30,Whiteboard_Room,6,2,Architecture,8
M036,QA_Automation_Strategy,11:00,12:30,Conf_Room_Red,10,2,QA,12
M037,Content_Calendar_Sync,10:30,11:30,Marketing_Bay,5,1,Marketing,6
M038,Influencer_Marketing_Plan,14:00,15:00,Conf_Room_Yellow,8,2,Marketing,10
M039,IT_Asset_Audit,09:00,17:00,Server_Room_Annexe,4,2,IT_Support,5
M040,Fire_Safety_Drill_Plan,10:00,10:30,Facility_Mgr_Cabin,3,2,Facilities,4
M041,React_JS_Workshop,10:00,13:00,Training_Hall_C,25,2,Engineering,30
M042,Kubernetes_Best_Practices,14:00,16:00,Training_Hall_C,25,2,DevOps,30
M043,Product_Roadmap_2026,09:00,17:00,Offsite_Room_Hotel,15,3,Product,20
M044,Sales_Target_Setting,09:30,11:30,Conf_Room_Sales,12,3,Sales,15
M045,Cold_Calling_Blitz,14:00,16:00,Sales_Floor,30,2,Sales,40
M046,Customer_Support_Shift_Handover,07:30,08:00,Support_Bay,15,2,Support,20
M047,Customer_Support_Shift_Handover,15:30,16:00,Support_Bay,15,2,Support,20
M048,Customer_Support_Shift_Handover,23:30,00:00,Support_Bay,15,2,Support,20
M049,Escalation_Mgmt_Meeting,11:00,12:00,Conf_Room_Support,6,3,Support,8
M050,CSAT_Score_Analysis,15:00,16:00,Conf_Room_Support,8,2,Support,10
M051,Database_Optimization_Sync,11:30,12:30,DBA_Corner,4,2,Engineering,5
M052,Network_Upgrade_Plan,14:00,15:00,Network_Ops_Room,5,3,IT_Infrastructure,6
M053,ISO_Audit_Preparation,10:00,12:00,Conf_Room_Quality,8,3,Quality,10
M054,Sustainability_Initiative,15:00,16:00,Green_Room,10,1,CSR,12
M055,Women_in_Tech_Meetup,16:00,17:30,Townhall_Area,40,1,Diversity,50
M056,Code_Review_Session_A,11:00,12:00,Pair_Prog_Station_1,3,1,Engineering,4
M057,Code_Review_Session_B,14:00,15:00,Pair_Prog_Station_2,3,1,Engineering,4
M058,Intern_Mentorship_Sync,16:00,16:30,Huddle_Area_5,5,1,HR,6
M059,Exit_Interview_John_Doe,16:00,17:00,HR_Confidential_Room,2,2,HR,3
M060,Payroll_Processing_Final,10:00,12:00,Finance_Secure_Bay,4,3,Finance,5
M061,Tax_Filing_Sync,14:00,15:00,Finance_Meeting_Room,5,3,Finance,6
M062,Procurement_Vendor_Select,11:00,12:30,Conf_Room_Vendor,6,2,Procurement,8
M063,Office_Renovation_Plan,10:00,11:00,Facilities_Desk,4,1,Facilities,5
M064,CISO_Weekly_Briefing,09:00,09:30,CISO_Office,3,3,Security,4
M065,Phishing_Simulation_Review,14:00,15:00,Conf_Room_Sec,5,2,Security,6
M066,Blockchain_PoC_Demo,16:00,17:00,Innovation_Lab,10,2,R&D,15
M067,IoT_Device_Testing,10:00,13:00,Hardware_Lab,6,2,R&D,8
M068,Patent_Filing_Discussion,11:00,12:00,Legal_Office,3,3,Legal,4
M069,Travel_Policy_Update,15:00,16:00,Conf_Room_Admin,5,1,Admin,6
M070,Cafeteria_Vendor_Review,10:00,11:00,Admin_Cabin,4,2,Admin,5
M071,Gym_Equipment_Maintenance,06:00,08:00,Gym_Floor,2,1,Facilities,0
M072,Executive_Coaching_CTO,08:00,09:00,CTO_Cabin,2,2,Executive,3
M073,Merger_Acquisition_Disc,18:00,21:00,Secret_Room,8,3,Executive,10
M074,Press_Release_Drafting,11:00,12:00,PR_Office,4,2,Comms,5
M075,Video_Shoot_Product_Ad,09:00,17:00,Studio_Green_Screen,10,2,Marketing,15
M076,Website_Revamp_Kickoff,10:00,11:30,Conf_Room_Digital,12,2,Marketing,15
M077,SEO_Performance_Review,14:00,15:00,Conf_Room_Digital,6,2,Marketing,8
M078,Social_Media_Crisis_Mgmt,09:00,10:00,War_Room,8,3,Comms,10
M079,Partner_Enablement_Session,15:00,16:30,Webinar_Room,50,2,Partnerships,100
