source_node,destination_node,pipe_diameter_mm,flow_capacity_liters_sec,pressure_psi,pipe_material,age_years
Campus_Main_Reservoir,Engineering_Block,200,480,72,steel,8
Campus_Main_Reservoir,Medical_Science_Wing,200,490,70,steel,7
Campus_Main_Reservoir,Student_Housing_Zone,220,510,75,steel,10
Engineering_Block,CS_Dept,120,175,65,pvc,4
Engineering_Block,Mech_Labs,130,190,64,steel,6
Engineering_Block,Civil_Workshops,125,180,63,steel,5
Medical_Science_Wing,Bio_Research,100,140,60,pvc,3
Medical_Science_Wing,Hospital_Annex,150,300,68,steel,5
Housing_Zone,Hostel_Alpha,110,160,58,pvc,4
Housing_Zone,Hostel_Beta,110,160,58,pvc,3
Housing_Zone,Hostel_Gamma,110,165,59,pvc,2
Housing_Zone,Staff_Qtrs_A,90,120,55,pvc,12
Admin_Block,Registrar,60,50,52,pvc,15
Admin_Block,Admissions,70,80,54,pvc,10
Admin_Block,Dean_Office,60,55,53,copper,8
Sports_Complex,Olympic_Pool,160,350,65,steel,6
Sports_Complex,Gym_Showers,90,130,58,pvc,4
Sports_Complex,Field_Sprinklers,100,145,60,pvc,5
Library_Zone,Reading_Room,80,95,55,pvc,7
Library_Zone,Archives,70,85,54,copper,9
Student_Center,Cafeteria,100,150,60,pvc,5
Student_Center,Coffee_Shop,50,40,45,pvc,3
Research_Park,Innov_Hub,120,200,65,steel,2
Research_Park,Nanotech_Lab,90,110,62,steel,1
Arts_Faculty,History_Dept,80,100,56,pvc,18
Arts_Faculty,English_Dept,80,100,56,pvc,17
Arts_Faculty,Fine_Arts,90,115,58,pvc,6
Main_Reservoir,Auditorium,140,250,68,steel,9
Auditorium,Green_Room_1,60,70,50,pvc,9
Auditorium,Green_Room_2,60,70,50,pvc,9
Law_School,Moot_Court,75,90,55,pvc,8
Law_School,Law_Library,70,85,54,pvc,7
Physics_Block,Optics_Lab,80,95,58,copper,4
Physics_Block,Quantum_Lab,80,95,58,copper,3
Chem_Block,Organic_Lab,85,100,57,pvc,5
Chem_Block,Inorganic_Lab,85,100,57,pvc,5
Hostel_Alpha,Mess_Hall_1,95,130,55,steel,4
Hostel_Beta,Mess_Hall_2,95,130,55,steel,3
Hostel_Gamma,Mess_Hall_3,95,135,56,steel,2
Staff_Qtrs_A,Guest_House,70,80,52,pvc,10
Staff_Qtrs_A,VC_Lodge,80,100,58,copper,12
Bio_Research,Animal_House,60,60,50,pvc,3
Mech_Labs,Fluids_Rig,70,90,60,steel,6
Civil_Workshops,Concrete_Lab,75,95,58,steel,5
