document_id,title,content_preview,file_size_kb,category,date_indexed,search_keywords
DOC011,Object Oriented Programming with Java,Classes objects inheritance polymorphism Java concepts,850,programming,2024-02-01,java oop classes inheritance
DOC012,Python for Data Science,Pandas NumPy Matplotlib data analysis tutorial,1200,data_science,2024-02-03,python pandas numpy analysis
DOC013,Digital Logic Design,Boolean algebra logic gates flip flops counters,950,electronics,2024-02-05,logic gates boolean digital
DOC014,Discrete Mathematics,Sets relations functions graph theory logic,1100,mathematics,2024-02-07,sets graph theory logic
DOC015,Computer Organization Architecture,CPU design pipelines cache memory instruction sets,1300,systems,2024-02-10,cpu pipeline cache architecture
DOC016,Software Engineering Principles,SDLC models agile testing requirements analysis,1050,software_eng,2024-02-12,agile sdlc testing requirements
DOC017,Automata Theory and Computation,Finite automata regular expressions turing machines,1150,theory_computation,2024-02-15,automata turing machine computation
DOC018,Artificial Intelligence Modern Approach,Search algorithms game playing logic agents,1600,ai_ml,2024-02-18,ai search agents logic
DOC019,Cyber Security Fundamentals,Cryptography network security firewalls malware,1250,security,2024-02-20,cryptography security firewall malware
DOC020,Cloud Computing Services,AWS Azure Google Cloud IaaS PaaS SaaS,1400,cloud,2024-02-22,aws azure cloud saas
DOC021,Big Data Analytics,Hadoop Spark MapReduce data mining techniques,1500,data_science,2024-02-25,hadoop spark big data
DOC022,Internet of Things IoT,Sensors actuators microcontrollers IoT protocols,1100,electronics,2024-02-28,iot sensors arduino raspberry
DOC023,Mobile App Development,Android Studio Kotlin Flutter iOS development,1350,mobile_dev,2024-03-01,android kotlin flutter app
DOC024,Full Stack Web Development,MERN stack React Node Express MongoDB,1450,web,2024-03-03,react node mongodb full stack
DOC025,Blockchain Technology,Cryptocurrency smart contracts distributed ledger,1200,blockchain,2024-03-05,blockchain crypto smart contracts
DOC026,Deep Learning Neural Networks,CNN RNN TensorFlow PyTorch backpropagation,1700,ai_ml,2024-03-08,deep learning cnn pytorch
DOC027,Natural Language Processing,Text processing sentiment analysis chatbots NLP,1550,ai_ml,2024-03-10,nlp text sentiment chatbot
DOC028,Computer Graphics,Rasterization ray tracing OpenGL rendering,1300,graphics,2024-03-12,graphics opengl rendering ray tracing
DOC029,Human Computer Interaction,UI UX design usability testing interface design,1000,design,2024-03-15,ui ux design interface
DOC030,Advanced Database Systems,NoSQL MongoDB Cassandra indexing query optimization,1400,databases,2024-03-18,nosql mongodb database indexing
DOC031,Signals and Systems,Fourier transform Laplace Z-transform signal processing,1150,electronics,2024-03-20,fourier signals laplace processing
DOC032,Microprocessors and Interfacing,8086 architecture assembly language interrupts,1250,electronics,2024-03-22,microprocessor 8086 assembly interrupts
DOC033,Analog Electronic Circuits,Amplifiers oscillators op-amps transistors,1100,electronics,2024-03-25,analog circuits amplifiers transistors
